year,CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,STATYPE,HAUL,GEARCOND,SHG,TYPE_CODE,TYPE_COMMENT,OPERATION_CODE,OPERATION_COMMENT,GEAR_CODE,GEAR_COMMENT,ACQUISITION_CODE,ACQUISITION_COMMENT,TOGA,AREA,SVVESSEL,CRUNUM,SVGEAR,BEGIN_EST_TOWDATE,BEING_EST_TOWDATE,BEGIN_GMT_TOWDATE,BEGIN_GMT_TOWDATE_1,EST_YEAR,EST_MONTH,EST_DAY,EST_JULIAN_DAY,EST_TIME,GMT_YEAR,GMT_MONTH,GMT_DAY,GMT_JULIAN_DAY,GMT_TIME,TOWDUR,SETDEPTH,ENDDEPTH,MINDEPTH,MAXDEPTH,AVGDEPTH,BEGEKVLOG,ENDEKVLOG,BEGLAT,BEGLON,ENDLAT,ENDLON,DECDEG_BEGLAT,DECDEG_BEGLON,DECDEG_ENDLAT,DECDEG_ENDLON,LORS1,LORE1,LORS2,LORE2,CABLE,PITCH,HEADING,COURSE,RPM,DOPDISTB,DOPDISTW,DESSPEED,GEARID,DOORID,OTHGEAR,AIRTEMP,CLOUD,BAROPRESS,WINDDIR,WINDSP,WEATHER,WAVEHGT,SWELLDIR,SWELLHGT,BKTTEMP,TRASHAMT,TRASHSHL,TRASHBIO,TRASHSUB,XBT,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,FULD,NO_DETAIL_SVSPP,BOTSPEED,WATCH_CHIEF_COMMENTS,STATION_COMMENTS,HABITAT_COMMENTS,SVSPP,EXPCATCHNUM,EXPCATCHWT,SCIENTIFIC_NAME
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,26.0,2.0,1.14,Leucoraja erinacea (little skate)
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,72.0,2.0,0.295,Merluccius bilinearis (silver hake)
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,78.0,2.0,0.11,Urophycis regia (spotted hake)
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,104.0,2.0,0.392,Hippoglossina oblonga (fourspot flounder)
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,109.0,3.0,0.018,Citharichthys arctifrons (Gulf stream flounder)
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,131.0,11.0,0.562,Peprilus triacanthus (butterfish)
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,197.0,1.0,1.17,Lophius americanus (goosefish)
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,401.0,3.0,0.285,Placopecten magellanicus (sea scallop)
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,502.0,51.0,0.9,Illex illecebrosus (northern shortfin squid)
2023,202304,202304,01740,4,14,10,202304017400040014,1.0,1.0,1.0,111,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,615.0,HB,4,10.0,09/10/2023 11:38:02,09/10/2023 11:58:02,09/10/2023 16:38:02,09/10/2023 16:58:02,2023.0,9.0,10.0,2460198.0,11:38:02,2023.0,9.0,10.0,2460198.0,16:38:02,20.0,69.0,71.0,69.0,72.0,70.0,,,3901.41,7317.66,3900.78,7316.64,39.0235,-73.294333,39.013,-73.277333, , , , ,,,117.8,123.0,,1.136,,, , , ,,,,133.8,5.3,,,,,,,,,, ,24.62,31.693,9.93,33.049,,,3.4,,,,503.0,1098.0,34.807,Loligo pealeii (longfin squid)
