,SCINAME,COMNAME,SVSPP,CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,STATYPE,HAUL,GEARCOND,SHG,TYPE_CODE,TYPE_COMMENT,OPERATION_CODE,OPERATION_COMMENT,GEAR_CODE,GEAR_COMMENT,ACQUISITION_CODE,ACQUISITION_COMMENT,TOGA,AREA,SVVESSEL,CRUNUM,SVGEAR,BEGIN_EST_TOWDATE,BEING_EST_TOWDATE,BEGIN_GMT_TOWDATE,BEGIN_GMT_TOWDATE_1,EST_YEAR,EST_MONTH,EST_DAY,EST_JULIAN_DAY,EST_TIME,GMT_YEAR,GMT_MONTH,GMT_DAY,GMT_JULIAN_DAY,GMT_TIME,TOWDUR,SETDEPTH,ENDDEPTH,MINDEPTH,MAXDEPTH,AVGDEPTH,BEGEKVLOG,ENDEKVLOG,BEGLAT,BEGLON,ENDLAT,ENDLON,DECDEG_BEGLAT,DECDEG_BEGLON,DECDEG_ENDLAT,DECDEG_ENDLON,LORS1,LORE1,LORS2,LORE2,CABLE,PITCH,HEADING,COURSE,RPM,DOPDISTB,DOPDISTW,DESSPEED,GEARID,DOORID,OTHGEAR,AIRTEMP,CLOUD,BAROPRESS,WINDDIR,WINDSP,WEATHER,WAVEHGT,SWELLDIR,SWELLHGT,BKTTEMP,TRASHAMT,TRASHSHL,TRASHBIO,TRASHSUB,XBT,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,FULD,NO_DETAIL_SVSPP,BOTSPEED,WATCH_CHIEF_COMMENTS,STATION_COMMENTS,HABITAT_COMMENTS,EXPCATCHNUM,EXPCATCHWT,SCIENTIFIC_NAME
3,ACANTHOCARPUS ALEXANDRI,GLADIATOR BOX CRAB,604,202304.0,202304.0,08530,1.0,89.0,10.0,202304085300010089,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,702.0,HB,4.0,10.0,09/19/2023 20:06:21,09/19/2023 20:26:31,09/20/2023 01:06:21,09/20/2023 01:26:31,2023.0,9.0,19.0,2460207.0,20:06:21,2023.0,9.0,20.0,2460208.0,01:06:21,20.16,271.0,272.0,270.0,272.0,271.0,,,3432.42,7541.13,3431.57,7541.76,34.540333,-75.6855,34.526167,-75.696, , , , ,,,215.3,219.0,,1.127,,, , , ,,,,38.3,2.5,,,,,,,,,, ,28.7,35.728,12.18,35.574,,,3.4,,+100m of wire out; +50m wire out,,1.0,0.021,Acanthocarpus alexandri (gladiator box crab)
4,ACANTHOCARPUS ALEXANDRI,GLADIATOR BOX CRAB,604,202304.0,202304.0,01030,2.0,167.0,10.0,202304010300020167,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"WSmean outside opt, within tol; HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,616.0,HB,4.0,10.0,10/10/2023 04:45:04,10/10/2023 05:05:04,10/10/2023 09:45:04,10/10/2023 10:05:04,2023.0,10.0,10.0,2460228.0,04:45:04,2023.0,10.0,10.0,2460228.0,09:45:04,20.0,119.0,118.0,117.0,120.0,118.0,,,3929.05,7228.14,3928.31,7228.99,39.484167,-72.469,39.471833,-72.483167, , , , ,,,225.8,225.0,,1.107,,, , , ,,,,152.9,13.6,,,,,,,,,, ,18.29,33.236,13.25,35.208,,,3.3,,,,1.0,0.011,Acanthocarpus alexandri (gladiator box crab)
10,ACIPENSER OXYRHYNCHUS,ATLANTIC STURGEON,380,202304.0,202304.0,03140,3.0,147.0,10.0,202304031400030147,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,612.0,HB,4.0,10.0,10/08/2023 01:09:05,10/08/2023 01:29:03,10/08/2023 06:09:05,10/08/2023 06:29:03,2023.0,10.0,8.0,2460226.0,01:09:05,2023.0,10.0,8.0,2460226.0,06:09:05,19.96,25.0,26.0,25.0,26.0,26.0,,,4028.6,7342.89,4028.97,7344.03,40.476667,-73.714833,40.482833,-73.733833, , , , ,,,286.2,277.0,,1.055,,, , , ,,,,275.8,20.0,,,,,,,,,, ,18.65,30.841,18.5,31.799,,,3.2,,,,1.0,9.88,Acipenser oxyrinchus (Atlantic sturgeon)
18,ALOSA AESTIVALIS,BLUEBACK HERRING,34,202304.0,202304.0,01260,3.0,251.0,10.0,202304012600030251,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/21/2023 13:36:29,10/21/2023 13:56:41,10/21/2023 18:36:29,10/21/2023 18:56:41,2023.0,10.0,21.0,2460239.0,13:36:29,2023.0,10.0,21.0,2460239.0,18:36:29,20.19,137.0,144.0,137.0,146.0,143.0,,,4214.78,7004.23,4214.87,7002.9,42.246333,-70.0705,42.247833,-70.048333, , , , ,,,79.4,85.0,,1.044,,, , , ,,,,52.2,24.7,,,,,,,,,, ,,,,,,,3.1,,,,4.0,0.616,Alosa aestivalis (blueback herring)
19,ALOSA AESTIVALIS,BLUEBACK HERRING,34,202304.0,202304.0,01260,1.0,253.0,10.0,202304012600010253,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/22/2023 10:34:34,10/22/2023 10:54:36,10/22/2023 15:34:34,10/22/2023 15:54:36,2023.0,10.0,22.0,2460240.0,10:34:34,2023.0,10.0,22.0,2460240.0,15:34:34,20.02,86.0,87.0,86.0,88.0,87.0,,,4222.78,7028.36,4222.81,7029.7,42.379667,-70.472667,42.380167,-70.495, , , , ,,,282.0,278.0,,1.038,,, , , ,,,,254.2,19.3,,,,,,,,,, ,14.38,31.096,9.4,32.013,,,3.1,,,,3.0,0.444,Alosa aestivalis (blueback herring)
20,ALOSA AESTIVALIS,BLUEBACK HERRING,34,202304.0,202304.0,03660,2.0,255.0,10.0,202304036600020255,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"DSmean outside opt, within tol; HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/22/2023 16:45:47,10/22/2023 17:05:49,10/22/2023 21:45:47,10/22/2023 22:05:49,2023.0,10.0,22.0,2460240.0,16:45:47,2023.0,10.0,22.0,2460240.0,21:45:47,20.04,60.0,60.0,60.0,61.0,60.0,,,4213.8,7031.6,4214.64,7032.38,42.23,-70.526667,42.244,-70.539667, , , , ,,,319.1,322.0,,1.128,,, , , ,,,,303.4,22.1,,,,,,,,,, ,14.4,31.08,10.44,32.059,,,3.4,,stream 2135,,84.0,12.7,Alosa aestivalis (blueback herring)
21,ALOSA AESTIVALIS,BLUEBACK HERRING,34,202304.0,202304.0,03640,2.0,256.0,10.0,202304036400020256,1.0,3.0,6.0,136.0,1.0,"RANDOM, within 1nm radius",2.0,75-99% Tow in Correct Stratum,2.0,Obstruction in/on gear not significant,1.0,No Data Acq. Errors,1221.0,514.0,HB,4.0,10.0,10/22/2023 20:37:35,10/22/2023 20:57:37,10/23/2023 01:37:35,10/23/2023 01:57:37,2023.0,10.0,22.0,2460240.0,20:37:35,2023.0,10.0,23.0,2460241.0,01:37:35,20.03,43.0,42.0,41.0,43.0,42.0,,,4211.99,7034.75,4212.68,7035.74,42.199833,-70.579167,42.211333,-70.595667, , , , ,,,312.8,315.0,,1.132,,, , , ,,,,289.0,18.9,,,,,,,,,, ,14.61,31.043,10.79,32.058,,,3.4,,,,2.0,0.309,Alosa aestivalis (blueback herring)
22,ALOSA AESTIVALIS,BLUEBACK HERRING,34,202304.0,202304.0,03650,2.0,257.0,10.0,202304036500020257,1.0,1.0,1.0,111.0,1.0,ALTERNATE,2.0,"DSmean outside opt, within tol; HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/22/2023 22:16:23,10/22/2023 22:36:26,10/23/2023 03:16:23,10/23/2023 03:36:26,2023.0,10.0,22.0,2460240.0,22:16:23,2023.0,10.0,23.0,2460241.0,03:16:23,20.06,45.0,43.0,43.0,45.0,44.0,,,4211.13,7033.76,4211.82,7034.72,42.1855,-70.562667,42.197,-70.578667, , , , ,,,316.0,317.0,,1.115,,, , , ,,,,307.8,19.8,,,,,,,,,, ,14.67,31.017,12.11,31.848,,,3.3,,,,2.0,0.277,Alosa aestivalis (blueback herring)
23,ALOSA AESTIVALIS,BLUEBACK HERRING,34,202304.0,202304.0,03610,3.0,258.0,10.0,202304036100030258,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"DSmean outside opt, within tol; HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/23/2023 06:41:08,10/23/2023 07:01:35,10/23/2023 11:41:08,10/23/2023 12:01:35,2023.0,10.0,23.0,2460241.0,06:41:08,2023.0,10.0,23.0,2460241.0,11:41:08,20.46,51.0,53.0,51.0,53.0,52.0,,,4200.18,7020.84,4201.12,7021.55,42.003,-70.347333,42.018667,-70.359167, , , , ,,,340.0,339.0,,1.189,,, , , ,,,,0.4,20.0,,,,,,,,,, ,15.34,30.886,10.75,31.817,,,3.5,,net on deck 1215; crane secure 1220,,21.0,3.27,Alosa aestivalis (blueback herring)
24,ALOSA AESTIVALIS,BLUEBACK HERRING,34,202304.0,202304.0,03600,1.0,259.0,10.0,202304036000010259,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"WSmean outside opt, within tol; HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/23/2023 09:25:38,10/23/2023 09:45:36,10/23/2023 14:25:38,10/23/2023 14:45:36,2023.0,10.0,23.0,2460241.0,09:25:38,2023.0,10.0,23.0,2460241.0,14:25:38,19.95,39.0,40.0,38.0,40.0,39.0,,,4159.48,7013.15,4159.09,7014.38,41.991333,-70.219167,41.984833,-70.239667, , , , ,,,247.8,245.0,,1.103,,, , , ,,,,350.4,18.0,,,,,,,,,, ,15.16,30.904,14.36,31.161,,,3.3,,Crane secure 1500,,1.0,0.055,Alosa aestivalis (blueback herring)
