year,lat,lon,ID,dates,surf_temp,bot_temp,surf_salinity,bot_salinity,avg_depth,region
2023,40.418,-68.755667,202302011300030008,2023-05-09,,,,,85.0,northeast
2023,40.552833,-68.7765,202302011300060009,2023-05-09,8.81,8.58,32.868,32.878,68.0,northeast
2023,40.719333,-68.503833,202302011900010010,2023-05-09,9.36,9.04,32.93,32.925,60.0,northeast
2023,40.5865,-68.433667,202302011300010011,2023-05-09,9.43,7.36,32.169,33.0,83.0,northeast
2023,40.265167,-68.4165,202302011400010012,2023-05-09,9.47,12.2,32.152,35.195,150.0,northeast
2023,40.529833,-67.5315,202302011400030013,2023-05-10,8.47,12.06,32.48,34.774,124.0,northeast
2023,40.333,-67.790333,202302011500020014,2023-05-10,9.21,10.35,32.715,35.308,246.0,northeast
2023,40.439833,-68.026,202302011400020015,2023-05-10,8.3,11.56,32.304,34.952,142.0,northeast
2023,40.663333,-67.9385,202302011300080016,2023-05-10,9.62,8.02,32.397,33.398,87.0,northeast
2023,40.769667,-67.887833,202302011300020017,2023-05-10,9.85,7.83,32.273,33.106,72.0,northeast
2023,40.9855,-67.693167,202302011300050018,2023-05-11,9.2,7.91,32.288,32.918,63.0,northeast
2023,40.954167,-67.406167,202302011300040019,2023-05-11,9.44,7.34,32.197,32.935,75.0,northeast
2023,40.910333,-67.188667,202302011300070020,2023-05-11,9.43,7.16,32.617,32.938,85.0,northeast
2023,40.644833,-66.974667,202302011500030021,2023-05-11,8.31,11.38,32.446,35.191,196.0,northeast
2023,40.728167,-66.824833,202302011500010022,2023-05-12,8.85,12.05,32.631,35.212,210.0,northeast
2023,40.828,-66.747333,202302011700020023,2023-05-12,8.52,9.7,32.455,34.229,122.0,northeast
2023,40.886,-66.766833,202302011600060024,2023-05-12,9.07,8.22,32.521,33.609,98.0,northeast
2023,40.919167,-66.8265,202302011600010025,2023-05-12,9.7,7.53,32.556,33.121,92.0,northeast
2023,41.006833,-66.864667,202302011600020026,2023-05-12,10.32,7.64,32.803,32.937,74.0,northeast
2023,41.091667,-66.794667,202302011600040027,2023-05-12,9.89,7.42,32.684,32.99,73.0,northeast
2023,41.124333,-66.6535,202302011600070028,2023-05-12,9.6,7.39,32.655,32.993,88.0,northeast
2023,41.0995,-66.5305,202302011600030029,2023-05-13,8.92,7.56,32.39,33.242,94.0,northeast
2023,40.989,-66.469,202302011800020030,2023-05-13,8.14,11.69,32.379,35.264,225.0,northeast
2023,41.112333,-66.363667,202302011800010031,2023-05-13,,,,,208.0,northeast
2023,41.138667,-66.411833,202302011700010032,2023-05-13,9.19,8.0,32.486,33.411,116.0,northeast
2023,41.206167,-66.295667,202302011700030033,2023-05-13,7.91,11.46,32.302,35.181,138.0,northeast
2023,41.351167,-66.118333,202302011800030034,2023-05-14,,,,,218.0,northeast
2023,41.7605,-66.042833,202302011600150035,2023-05-14,7.08,7.36,31.993,33.071,98.0,northeast
2023,41.782833,-66.0465,202302011600140036,2023-05-14,7.08,7.36,31.993,33.071,97.0,northeast
2023,41.844167,-65.73,202302011800040037,2023-05-14,,,,,235.0,northeast
2023,41.865,-65.835,202302011700040038,2023-05-14,7.68,7.61,31.807,33.182,135.0,northeast
2023,41.9385,-65.961667,202302011600120039,2023-05-14,8.16,7.76,32.448,33.507,103.0,northeast
2023,42.034333,-66.401,202302011600130040,2023-05-15,9.19,8.08,32.607,32.971,86.0,northeast
2023,42.156167,-66.4935,202302012200030041,2023-05-15,9.44,7.91,32.452,33.059,149.0,northeast
2023,42.174,-66.758333,202302012200040042,2023-05-15,9.5,8.86,32.633,34.333,179.0,northeast
2023,42.137833,-66.886833,202302012100030043,2023-05-15,9.7,7.18,32.654,33.182,78.0,northeast
2023,42.086333,-67.000167,202302012100050044,2023-05-15,9.75,8.07,32.716,32.922,62.0,northeast
2023,42.087667,-67.018,202302012100040045,2023-05-15,9.75,8.07,32.716,32.922,62.0,northeast
2023,41.7085,-68.192667,202302012000030046,2023-05-16,,,,,24.0,northeast
2023,41.686833,-68.330167,202302012000020047,2023-05-16,9.78,9.47,32.681,32.839,59.0,northeast
2023,41.524833,-68.547667,202302012300020048,2023-05-16,9.91,6.67,32.381,32.71,102.0,northeast
2023,41.495167,-68.438833,202302012300050049,2023-05-16,9.79,8.42,32.4,32.818,78.0,northeast
2023,41.5355,-68.883167,202302012400060050,2023-05-16,10.4,6.81,32.466,33.054,156.0,northeast
2023,41.9745,-67.913833,202302012200010051,2023-05-17,9.89,8.06,32.419,33.782,180.0,northeast
2023,41.842333,-67.817333,202302012000010052,2023-05-17,9.81,9.54,32.59,32.697,38.0,northeast
2023,42.038,-67.6575,202302012100010054,2023-05-18,,,,,92.0,northeast
