year,START_DATE,region
2023,2023-09-10,northeast
2023,2023-09-11,northeast
2023,2023-09-12,northeast
2023,2023-09-13,northeast
2023,2023-09-14,northeast
2023,2023-09-16,northeast
2023,2023-09-17,northeast
2023,2023-09-18,northeast
2023,2023-09-19,northeast
2023,2023-09-20,northeast
2023,2023-09-21,northeast
2023,2023-09-22,northeast
2023,2023-09-24,northeast
2023,2023-09-25,northeast
2023,2023-10-05,northeast
2023,2023-10-06,northeast
2023,2023-10-07,northeast
2023,2023-10-08,northeast
2023,2023-10-09,northeast
2023,2023-10-10,northeast
2023,2023-10-11,northeast
2023,2023-10-12,northeast
2023,2023-10-13,northeast
2023,2023-10-14,northeast
2023,2023-10-15,northeast
2023,2023-10-17,northeast
2023,2023-10-18,northeast
2023,2023-10-19,northeast
2023,2023-10-20,northeast
2023,2023-10-21,northeast
2023,2023-10-22,northeast
2023,2023-10-23,northeast
2023,2023-10-30,northeast
2023,2023-10-31,northeast
2023,2023-11-01,northeast
2023,2023-11-02,northeast
2023,2023-11-03,northeast
2023,2023-11-04,northeast
2023,2023-11-05,northeast
2023,2023-11-06,northeast
2023,2023-11-07,northeast
2023,2023-11-08,northeast
2023,2023-11-09,northeast
2023,2023-11-10,northeast
2023,2023-11-11,northeast
2023,2023-11-12,northeast
2023,2023-11-13,northeast
2023,2023-11-14,northeast
2023,2023-11-15,northeast
2023,2023-11-16,northeast
2024,2024-09-07,northeast
2024,2024-09-08,northeast
2024,2024-09-09,northeast
2024,2024-09-10,northeast
2024,2024-09-11,northeast
2024,2024-09-15,northeast
2024,2024-09-16,northeast
2024,2024-09-17,northeast
2024,2024-09-18,northeast
2024,2024-09-19,northeast
2024,2024-09-20,northeast
2024,2024-09-21,northeast
2024,2024-09-22,northeast
2024,2024-09-23,northeast
2024,2024-09-24,northeast
2024,2024-10-02,northeast
2024,2024-10-03,northeast
2024,2024-10-04,northeast
2024,2024-10-05,northeast
2024,2024-10-06,northeast
2024,2024-10-07,northeast
2024,2024-10-08,northeast
2024,2024-10-09,northeast
2024,2024-10-10,northeast
2024,2024-10-11,northeast
2024,2024-10-12,northeast
2024,2024-10-13,northeast
2024,2024-10-14,northeast
2024,2024-10-15,northeast
2024,2024-10-16,northeast
2024,2024-10-17,northeast
2024,2024-10-18,northeast
2024,2024-10-19,northeast
2024,2024-10-20,northeast
2024,2024-10-21,northeast
2024,2024-10-29,northeast
2024,2024-10-30,northeast
2024,2024-10-31,northeast
2024,2024-11-01,northeast
2024,2024-11-02,northeast
2024,2024-11-03,northeast
2024,2024-11-04,northeast
2024,2024-11-05,northeast
2024,2024-11-06,northeast
2024,2024-11-07,northeast
2024,2024-11-08,northeast
2024,2024-11-09,northeast
2024,2024-11-10,northeast
2024,2024-11-11,northeast
