year,START_DATE,region
2023,2023-05-09,northeast
2023,2023-05-10,northeast
2023,2023-05-11,northeast
2023,2023-05-12,northeast
2023,2023-05-13,northeast
2023,2023-05-14,northeast
2023,2023-05-15,northeast
2023,2023-05-16,northeast
2023,2023-05-17,northeast
2023,2023-05-18,northeast
2023,2023-05-19,northeast
2023,2023-05-20,northeast
2023,2023-05-21,northeast
2023,2023-05-22,northeast
2023,2023-05-23,northeast
2024,2024-03-07,northeast
2024,2024-03-08,northeast
2024,2024-03-09,northeast
2024,2024-03-10,northeast
2024,2024-03-11,northeast
2024,2024-03-12,northeast
2024,2024-03-13,northeast
2024,2024-03-14,northeast
2024,2024-03-15,northeast
2024,2024-03-16,northeast
2024,2024-03-17,northeast
2024,2024-03-18,northeast
2024,2024-03-19,northeast
2024,2024-03-20,northeast
2024,2024-03-21,northeast
2024,2024-03-22,northeast
2024,2024-04-01,northeast
2024,2024-04-02,northeast
2024,2024-04-03,northeast
2024,2024-04-04,northeast
2024,2024-04-05,northeast
2024,2024-04-06,northeast
2024,2024-04-07,northeast
2024,2024-04-08,northeast
2024,2024-04-09,northeast
2024,2024-04-10,northeast
2024,2024-04-11,northeast
2024,2024-04-12,northeast
2024,2024-04-13,northeast
2024,2024-04-14,northeast
2024,2024-04-15,northeast
2024,2024-04-16,northeast
2024,2024-04-17,northeast
2024,2024-04-18,northeast
2024,2024-04-26,northeast
2024,2024-04-27,northeast
2024,2024-04-28,northeast
2024,2024-04-29,northeast
2024,2024-04-30,northeast
2024,2024-05-01,northeast
2024,2024-05-02,northeast
2024,2024-05-03,northeast
2024,2024-05-04,northeast
2024,2024-05-05,northeast
2024,2024-05-06,northeast
2024,2024-05-07,northeast
2024,2024-05-08,northeast
2024,2024-05-09,northeast
2024,2024-05-10,northeast
2024,2024-05-11,northeast
2024,2024-05-12,northeast
2024,2024-05-13,northeast
