"species","species_pretty","status"
"California_skate_cpue_numbers_per_ha_der","California Skate","passed"
"California_slickhead_cpue_numbers_per_ha_der","California Slickhead","passed"
"Pacific_grenadier_cpue_numbers_per_ha_der","Pacific Grenadier","passed"
"Pacific_hake_cpue_numbers_per_ha_der","Pacific Hake","passed"
"Pacific_ocean_perch_cpue_numbers_per_ha_der","Pacific Ocean Perch","passed"
"Pacific_viperfish_cpue_numbers_per_ha_der","Pacific Viperfish","passed"
"arrowtooth_flounder_cpue_numbers_per_ha_der","Arrowtooth Flounder","passed"
"aurora_rockfish_cpue_numbers_per_ha_der","Aurora Rockfish","passed"
"big_skate_cpue_numbers_per_ha_der","Big Skate","passed"
"bigfin_eelpout_cpue_numbers_per_ha_der","Bigfin Eelpout","passed"
"black_eelpout_cpue_numbers_per_ha_der","Black Eelpout","passed"
"black_hagfish_cpue_numbers_per_ha_der","Black Hagfish","passed"
"blackbelly_eelpout_cpue_numbers_per_ha_der","Blackbelly Eelpout","passed"
"blacktail_snailfish_cpue_numbers_per_ha_der","Blacktail Snailfish","passed"
"brown_cat_shark_cpue_numbers_per_ha_der","Brown Cat Shark","passed"
"canary_rockfish_cpue_numbers_per_ha_der","Canary Rockfish","passed"
"curlfin_sole_cpue_numbers_per_ha_der","Curlfin Sole","passed"
"darkblotched_rockfish_cpue_numbers_per_ha_der","Darkblotched Rockfish","passed"
"deepsea_smelt_unident._cpue_numbers_per_ha_der","Deepsea Smelt Unident.","passed"
"deepsea_sole_cpue_numbers_per_ha_der","Deepsea Sole","passed"
"filetail_cat_shark_cpue_numbers_per_ha_der","Filetail Cat Shark","passed"
"giant_grenadier_cpue_numbers_per_ha_der","Giant Grenadier","passed"
"greenstriped_rockfish_cpue_numbers_per_ha_der","Greenstriped Rockfish","passed"
"hagfish_unident._cpue_numbers_per_ha_der","Hagfish Unident.","passed"
"halfbanded_rockfish_cpue_numbers_per_ha_der","Halfbanded Rockfish","passed"
"lanternfish_unident._cpue_numbers_per_ha_der","Lanternfish Unident.","passed"
"longnose_skate_cpue_numbers_per_ha_der","Longnose Skate","passed"
"longspine_combfish_cpue_numbers_per_ha_der","Longspine Combfish","passed"
"longspine_thornyhead_cpue_numbers_per_ha_der","Longspine Thornyhead","passed"
"petrale_sole_cpue_numbers_per_ha_der","Petrale Sole","passed"
"plainfin_midshipman_cpue_numbers_per_ha_der","Plainfin Midshipman","passed"
"redbanded_rockfish_cpue_numbers_per_ha_der","Redbanded Rockfish","passed"
"rex_sole_cpue_numbers_per_ha_der","Rex Sole","passed"
"roughtail_skate_cpue_numbers_per_ha_der","Roughtail Skate","passed"
"sablefish_cpue_numbers_per_ha_der","Sablefish","passed"
"sandpaper_skate_cpue_numbers_per_ha_der","Sandpaper Skate","passed"
"sharpchin_rockfish_cpue_numbers_per_ha_der","Sharpchin Rockfish","passed"
"shortbelly_rockfish_cpue_numbers_per_ha_der","Shortbelly Rockfish","passed"
"shortspine_thornyhead_cpue_numbers_per_ha_der","Shortspine Thornyhead","passed"
"slender_sole_cpue_numbers_per_ha_der","Slender Sole","passed"
"snakehead_eelpout_cpue_numbers_per_ha_der","Snakehead Eelpout","passed"
"splitnose_rockfish_cpue_numbers_per_ha_der","Splitnose Rockfish","passed"
"spotted_ratfish_cpue_numbers_per_ha_der","Spotted Ratfish","passed"
"stripetail_rockfish_cpue_numbers_per_ha_der","Stripetail Rockfish","passed"
"threadfin_sculpin_cpue_numbers_per_ha_der","Threadfin Sculpin","passed"
"twoline_eelpout_cpue_numbers_per_ha_der","Twoline Eelpout","passed"
