"species","species_pretty","status"
"bank_rockfish_cpue_numbers_per_ha_der","Bank Rockfish","fit_failed"
"blackfin_snailfish_cpue_numbers_per_ha_der","Blackfin Snailfish","fit_failed"
"blackgill_rockfish_cpue_numbers_per_ha_der","Blackgill Rockfish","fit_failed"
"butter_sole_cpue_numbers_per_ha_der","Butter Sole","fit_failed"
"northern_anchovy_cpue_numbers_per_ha_der","Northern Anchovy","fit_failed"
"rockfish_unident._cpue_numbers_per_ha_der","Rockfish Unident.","fit_failed"
"shiner_perch_cpue_numbers_per_ha_der","Shiner Perch","fit_failed"
"smooth_grenadier_cpue_numbers_per_ha_der","Smooth Grenadier","fit_failed"
"spotted_cusk-eel_cpue_numbers_per_ha_der","Spotted Cusk-Eel","fit_failed"
"swordspine_rockfish_cpue_numbers_per_ha_der","Swordspine Rockfish","fit_failed"
"California_grenadier_cpue_numbers_per_ha_der","California Grenadier","passed"
"California_skate_cpue_numbers_per_ha_der","California Skate","passed"
"California_slickhead_cpue_numbers_per_ha_der","California Slickhead","passed"
"Pacific_argentine_cpue_numbers_per_ha_der","Pacific Argentine","passed"
"Pacific_cod_cpue_numbers_per_ha_der","Pacific Cod","passed"
"Pacific_electric_ray_cpue_numbers_per_ha_der","Pacific Electric Ray","passed"
"Pacific_grenadier_cpue_numbers_per_ha_der","Pacific Grenadier","passed"
"Pacific_hagfish_cpue_numbers_per_ha_der","Pacific Hagfish","passed"
"Pacific_hake_cpue_numbers_per_ha_der","Pacific Hake","passed"
"Pacific_halibut_cpue_numbers_per_ha_der","Pacific Halibut","passed"
"Pacific_herring_cpue_numbers_per_ha_der","Pacific Herring","passed"
"Pacific_ocean_perch_cpue_numbers_per_ha_der","Pacific Ocean Perch","passed"
"Pacific_pompano_butterfish_cpue_numbers_per_ha_der","Pacific Pompano Butterfish","passed"
"Pacific_staghorn_sculpin_cpue_numbers_per_ha_der","Pacific Staghorn Sculpin","passed"
"Pacific_tomcod_cpue_numbers_per_ha_der","Pacific Tomcod","passed"
"Pacific_viperfish_cpue_numbers_per_ha_der","Pacific Viperfish","passed"
"arrowtooth_flounder_cpue_numbers_per_ha_der","Arrowtooth Flounder","passed"
"aurora_rockfish_cpue_numbers_per_ha_der","Aurora Rockfish","passed"
"big_skate_cpue_numbers_per_ha_der","Big Skate","passed"
"bigeye_starsnout_poacher_cpue_numbers_per_ha_der","Bigeye Starsnout Poacher","passed"
"bigfin_eelpout_cpue_numbers_per_ha_der","Bigfin Eelpout","passed"
"bigmouth_sole_cpue_numbers_per_ha_der","Bigmouth Sole","passed"
"black_eelpout_cpue_numbers_per_ha_der","Black Eelpout","passed"
"black_hagfish_cpue_numbers_per_ha_der","Black Hagfish","passed"
"blackbelly_dragonfish_cpue_numbers_per_ha_der","Blackbelly Dragonfish","passed"
"blackbelly_eelpout_cpue_numbers_per_ha_der","Blackbelly Eelpout","passed"
"blackfin_poacher_cpue_numbers_per_ha_der","Blackfin Poacher","passed"
"blacksmelt_unident._cpue_numbers_per_ha_der","Blacksmelt Unident.","passed"
"blacktail_snailfish_cpue_numbers_per_ha_der","Blacktail Snailfish","passed"
"blacktip_poacher_cpue_numbers_per_ha_der","Blacktip Poacher","passed"
"brown_cat_shark_cpue_numbers_per_ha_der","Brown Cat Shark","passed"
"canary_rockfish_cpue_numbers_per_ha_der","Canary Rockfish","passed"
"curlfin_sole_cpue_numbers_per_ha_der","Curlfin Sole","passed"
