reason_station_invalid,area_swept_ha_der,datetime_utc_iso,depth_hi_prec_m,door_width_m_der,fluorescence_at_surface_mg_per_m3_der,gear_end_latitude_dd,gear_end_longitude_dd,gear_start_latitude_dd,gear_start_longitude_dd,invertebrate_weight_kg,latitude_dd,leg,longitude_dd,net_height_m_der,net_width_m_der,nonspecific_organics_weight_kg,o2_at_gear_ml_per_l_der,operation_dim$legacy_performance_code,pass,performance,project,salinity_at_gear_psu_der,sampling_end_hhmmss,sampling_start_hhmmss,station_invalid,temperature_at_gear_c_der,temperature_at_surface_c_der,trawl_id,turbidity_ntu_der,vertebrate_weight_kg,vessel,vessel_end_latitude_dd,vessel_end_longitude_dd,vessel_start_latitude_dd,vessel_start_longitude_dd,year,date_formatted
NA,1.240997772043,2023-08-23T00:00:00Z,123.3,32.3079,NA,48.1765188,-125.1664278,48.1840433,-125.1584269,3.66,48.18,1,-125.16277778,6.2421,11.5939,0.04,NA,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,NA,085558,084129,0,7.5514,12.6,202303008007,NA,3167.96,Excalibur,48.1742383,-125.1679667,48.181655,-125.1609517,2023,2023-Aug-23
NA,3.375895872763,2023-08-22T00:00:00Z,993.4,NA,NA,46.6817005,-125.1417208,46.6630186,-125.1617787,52.955,46.67027778,1,-125.1525,5.0513,12.9902,1.445,0.2,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,34.389,080243,073123,0,3.755,16.6,202303008002,NA,250.51,Excalibur,46.69077,-125.135725,46.6751167,-125.147535,2023,2023-Aug-22
NA,1.37783436241,2023-08-22T00:00:00Z,371.3,NA,NA,46.9163379,-124.9116307,46.9078018,-124.9051229,62.607,46.91194444,1,-124.90861111,4.9923,12.6791,28.153,1.28,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,34.026,115421,113843,0,6.372,15.4,202303008003,NA,378.72,Excalibur,46.9224983,-124.9168117,46.913585,-124.91134,2023,2023-Aug-22
NA,1.556963263004,2023-08-22T00:00:00Z,160.8,NA,NA,46.9846347,-124.817956,46.9742857,-124.8193239,25.242,46.98,1,-124.81888889,5.4077,12.5737,0.438,1.242,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,33.902,151239,145620,0,7.469,13.4,202303008004,NA,331.4,Excalibur,46.9875617,-124.8161267,46.977595,-124.8182433,2023,2023-Aug-22
NA,1.888936129548,2023-08-22T00:00:00Z,759.3,NA,NA,47.2663088,-125.1081224,47.2531532,-125.1078004,24.62,47.25916667,1,-125.10805556,4.8867,12.8732,1.02,0.202,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,34.316,191813,185837,0,4.144,NA,202303008005,NA,119.63,Excalibur,47.2756217,-125.1081783,47.2642517,-125.1080867,2023,2023-Aug-22
NA,1.156695183899,2023-08-23T00:00:00Z,182.8,NA,NA,48.3283042,-125.2532501,48.3359835,-125.2528015,81.943,48.33222222,1,-125.25361111,4.3167,12.5853,32.577,1.122,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,33.939,064056,062704,0,7.073,13.8,202303008006,NA,172.46,Excalibur,48.3247467,-125.252665,48.332475,-125.253695,2023,2023-Aug-23
NA,1.299335608596,2023-08-23T00:00:00Z,116,35.7605,NA,48.1080124,-125.3978222,48.098691,-125.400807,3.1,48.10361111,1,-125.39972222,4.1111,12.1569,NA,1.464,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,33.881,122632,121014,0,7.434,13.1,202303008008,NA,542.62,Excalibur,48.1098967,-125.3965317,48.10085,-125.400835,2023,2023-Aug-23
NA,2.400045386284,2023-08-23T00:00:00Z,1198.7,37.2549,NA,47.8594787,-125.7100458,47.8454618,-125.725278,0.67,47.85166667,1,-125.71833333,4.4875,12.4001,NA,0.293,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,34.446,172630,170143,0,3.288,15.2,202303008009,NA,2.08,Excalibur,47.8676667,-125.7017817,47.85666,-125.7143783,2023,2023-Aug-23
NA,2.260670705965,2023-08-23T00:00:00Z,974.6,42.1783,NA,47.7816327,-125.6446895,47.7701536,-125.6580834,37.116,47.77638889,1,-125.6525,5.29,13.2047,0.514,0.174,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,34.38,195946,193608,0,3.772,17.1,202303008010,NA,177.91,Excalibur,47.789705,-125.628655,47.7790033,-125.6408667,2023,2023-Aug-23
NA,2.289509411306,2023-08-27T00:00:00Z,841.6,NA,NA,46.2495844,-124.651918,46.2512373,-124.63024,143.7,46.25083333,1,-124.63916667,2.5727,12.9155,NA,0.11,-999,2,Satisfactory,Groundfish Slope and Shelf Combination Survey,34.154,142516,140505,0,4.191,17.8,202303008032,NA,42.6,Excalibur,46.247895,-124.66685,46.2496767,-124.64991,2023,2023-Aug-27
