Common_name,Dominant_prey_juvenile,Dominant_prey_adult,Dominant_movement,Trophic_position,juv_prey_category,adult_prey_category
Aleutian skate,"Benthic micro-crustaceans, worms","Polychaetes, amphipods, small crustaceans & fish",Resident,Low,Benthic invertebrates,Benthic invertebrates
California grenadier,"Crustaceans (euphausiids, amphipods)","Fish, squid & larger invertebrates",Mobile,Medium,Plankton,Small fish
California halibut,"Planktonic crustaceans, amphipods","Fish (flatfishes, sand lance) & cephalopods",Mobile,High,Plankton,Small fish
California lizardfish,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Resident,Medium,Plankton,Small fish
California skate,"Benthic micro-crustaceans, worms","Polychaetes, amphipods, small crustaceans & fish",Resident,Low,Benthic invertebrates,Benthic invertebrates
California slickhead,"Crustaceans (euphausiids, amphipods)","Fish, squid & larger invertebrates",Mobile,Medium,Plankton,Small fish
California tonguefish,"Planktonic crustaceans, amphipods","Benthic invertebrates (polychaetes, amphipods)",Resident,Low,Plankton,Benthic invertebrates
Kamchatka eelpout,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Resident,Medium,Plankton,Small fish
Mexican rockfish,"Crustaceans (mysids, copepods), zooplankton",Crustaceans & fish (generalist),Resident,Medium,Plankton,Small fish
Pacific angel shark,"Crustaceans, small fishes, squid",Fish & squid (piscivorous),Mobile,High,Small fish,Small fish
Pacific argentine,"Zooplankton (copepods, small crustaceans)","Zooplankton (copepods, krill)",Resident,Low,Plankton,Plankton
Pacific chub mackerel,"Zooplankton, small crustaceans","Fish, squid & crustaceans",Mobile,Medium,Plankton,Small fish
Pacific cod,"Crustaceans (euphausiids, amphipods)","Fish, squid & larger invertebrates",Mobile,High,Plankton,Small fish
Pacific electric ray,"Benthic micro-crustaceans, worms","Benthic invertebrates (crabs, mollusks); some fish",Resident,Low,Benthic invertebrates,Benthic invertebrates
Pacific grenadier,"Crustaceans (euphausiids, amphipods)","Fish, squid & larger invertebrates",Mobile,Medium,Plankton,Small fish
Pacific hagfish,Small benthic invertebrates,"Carrion, polychaetes & small fish",Resident,Medium,Benthic invertebrates,Benthic invertebrates
Pacific hake,"Crustaceans (euphausiids, amphipods)","Fish, squid & larger invertebrates",Mobile,Medium,Plankton,Small fish
Pacific halibut,"Planktonic crustaceans, amphipods","Fish (flatfishes, sand lance) & cephalopods",Mobile,High,Plankton,Small fish
Pacific herring,"Zooplankton (copepods, small crustaceans)","Zooplankton (copepods, krill)",Mobile,Low,Plankton,Plankton
Pacific lamprey,Detritus & micro-organisms (filter-feeding ammocoetes),Parasitic on fishes (blood & tissues),Mobile,Medium,Benthic invertebrates,Small fish
Pacific ocean perch,"Small crustaceans (amphipods, copepods)",Benthic invertebrates; some small fish,Resident,Medium,Plankton,Benthic invertebrates
Pacific pompano butterfish,"Zooplankton, small crustaceans","Fish, squid & crustaceans",Mobile,Medium,Plankton,Small fish
Pacific sardine,"Zooplankton (copepods, small crustaceans)","Zooplankton (copepods, krill)",Mobile,Low,Plankton,Plankton
Pacific sleeper shark,"Crustaceans, small fishes, squid","Fish, sharks, cephalopods, carrion",Mobile,High,Small fish,Small fish
Pacific staghorn sculpin,"Small crustaceans (amphipods, copepods)",Benthic invertebrates; some small fish,Resident,Medium,Plankton,Benthic invertebrates
Pacific tomcod,"Crustaceans (euphausiids, amphipods)","Fish, squid & larger invertebrates",Mobile,High,Plankton,Small fish
Pacific viperfish,Zooplankton & fish larvae,Fish & squid (mesopelagic predators),Mobile,High,Plankton,Small fish
anchovy unident.,"Zooplankton (copepods, small crustaceans)","Zooplankton (copepods, krill)",Mobile,Low,Plankton,Plankton
angel shark unident.,"Crustaceans, small fishes, squid",Fish & squid (piscivorous),Mobile,High,Small fish,Small fish
arrowtooth flounder,"Planktonic crustaceans, amphipods","Benthic invertebrates (polychaetes, amphipods)",Resident,Low,Plankton,Benthic invertebrates
aurora rockfish,"Crustaceans (mysids, copepods), zooplankton",Crustaceans & fish (generalist),Resident,Medium,Plankton,Small fish
bank rockfish,"Crustaceans (mysids, copepods), zooplankton",Crustaceans & fish (generalist),Resident,Medium,Plankton,Small fish
barred sand bass,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Resident,Medium,Plankton,Small fish
barreleye,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Mobile,Medium,Plankton,Small fish
bat ray,"Benthic micro-crustaceans, worms","Benthic invertebrates (crabs, mollusks); some fish",Resident,Low,Benthic invertebrates,Benthic invertebrates
bearded eelpout,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Resident,Medium,Plankton,Small fish
big skate,"Benthic micro-crustaceans, worms","Polychaetes, amphipods, small crustaceans & fish",Resident,Low,Benthic invertebrates,Benthic invertebrates
bigeye starsnout poacher,"Small crustaceans (amphipods, copepods)",Benthic invertebrates; some small fish,Resident,Medium,Plankton,Benthic invertebrates
bigfin eelpout,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Resident,Medium,Plankton,Small fish
bigmouth sole,"Planktonic crustaceans, amphipods","Benthic invertebrates (polychaetes, amphipods)",Resident,Low,Plankton,Benthic invertebrates
black eelpout,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Resident,Medium,Plankton,Small fish
black hagfish,Small benthic invertebrates,"Carrion, polychaetes & small fish",Resident,Medium,Benthic invertebrates,Benthic invertebrates
blackbelly dragonfish,Zooplankton & fish larvae,Fish & squid (mesopelagic predators),Mobile,High,Plankton,Small fish
blackbelly eelpout,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Resident,Medium,Plankton,Small fish
blackfin poacher,"Small crustaceans (amphipods, copepods)",Benthic invertebrates; some small fish,Resident,Medium,Plankton,Benthic invertebrates
blackfin snailfish,"Small crustaceans (amphipods, copepods)",Benthic invertebrates; some small fish,Resident,Medium,Plankton,Benthic invertebrates
blackgill rockfish,"Crustaceans (mysids, copepods), zooplankton",Crustaceans & fish (generalist),Resident,Medium,Plankton,Small fish
blackline snipe eel,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Resident,Medium,Plankton,Small fish
blackmouth eelpout,Small crustaceans & zooplankton,Generalist invertebrates & small fishes,Resident,Medium,Plankton,Small fish
blacksmelt unident.,"Zooplankton (copepods, small crustaceans)","Zooplankton (copepods, krill)",Mobile,Low,Plankton,Plankton
blacktail snailfish,"Small crustaceans (amphipods, copepods)",Benthic invertebrates; some small fish,Resident,Medium,Plankton,Benthic invertebrates
